PeriodId,JITSofia-127
3,0
7,0
8,0
9,0
10,0
11,0
12,484.274507398058
13,0
14,57.7533432078637
15,48.5798030850476
16,49.0305081071285
17,51.737367305566
18,90.5398494388218
19,82.1272585049149
20,72.902119039374
21,72.9215343629956
22,88.666904032116
23,75.1575433623219
24,80.3273493050253
25,101.708871662844
26,73.4826704784421
27,82.7060042702908
28,74.4640522695421
29,99.5934000898812
30,91.7764079917128
31,80.725956471145
32,77.0601266519352
33,81.0269460452068
34,87.0443583968143
35,133.169817135228
Median,74.810797815932
Average,74.810797815932
