PeriodId,TurnoverRec-113
1,100
2,14.2857142857143
3,-29.4117647058823
4,-59.375
5,-37.308868501529
6,-18.1069958847737
7,-29.8449612403101
8,-56.4102564102564
9,-23.0088495575221
10,-15.2173913043478
11,-32
12,-30.3149606299213
13,-35.0785340314136
14,-26.9090909090909
15,-30.0341296928328
16,-31.0606060606061
17,-51.219512195122
18,-48.1012658227848
19,-33.0337078651685
Median,-30.3149606299213
Average,-30.3149606299213
