PeriodId,RevOwnRec-120
8,100
10,0
11,0
12,-25
13,64.2857142857143
14,149.122807017544
15,397.222222222222
16,278.666666666667
17,286.301369863014
18,362.921348314607
19,-26.4705882352941
20,201.290322580645
21,163.895486935867
22,161.004784688995
23,142.69340974212
24,105.679862306368
25,123.45971563981
26,122.768670309654
27,97.2413793103448
29,52.3996082272282
30,54.7204399633364
31,56.9416498993964
32,52.0050125313283
33,50.1935483870968
34,21.5102974828375
35,34.9785407725322
Median,98.6206896551724
Average,98.6206896551724
