PeriodId,RevOwnRec-120
3,0
7,0
8,0
9,12.5
10,3.89055486956349
11,14.9000452097874
12,49.9345101345625
13,29.0225378752251
14,20.200212219737
15,13.4269517809257
16,9.01478809185552
17,10.1884631183234
18,17.8011472084832
19,12.6063298504955
20,8.56724117064678
21,7.20133332971438
22,8.41956355725369
23,7.31554993434465
24,9.76582431034894
25,15.1950910776173
26,10.6953318459864
27,9.31661773464343
28,12.8310850405795
29,17.6710507692793
30,15.1499540001837
31,13.4705871456477
32,13.7507956724526
33,15.1338279890323
34,17.2652718428583
35,20.7505867417428
Median,12.7187074455375
Average,12.7187074455375
