PeriodId,AuthorshipRec-102
4,-1.21951219512195
5,-7.79896013864818
6,-8.49673202614379
7,-8.59728506787331
8,-7.04545454545454
9,-10.2040816326531
10,-6.78571428571428
11,-10.6710671067107
12,-6.22876557191393
13,-11.1706881143879
14,-7.03205791106515
15,-0.4
16,-0.121212121212122
17,-0.431406384814492
18,-7.54716981132075
19,-2.6595744680851
20,-7.25308641975309
Median,-7.04545454545454
Average,-7.04545454545454
