PeriodId,JITSofia-128
8,100
10,0
11,33.3333333333333
12,25
13,-4.76190476190477
14,-14.0350877192982
15,61.1111111111111
16,-12
17,-17.8082191780822
18,-17.9775280898876
19,-17.6470588235294
20,0.967741935483879
21,-3.32541567695962
22,5.50239234449761
23,12.3209169054441
24,51.8072289156626
25,69.9052132701422
26,54.0983606557377
27,40.9655172413793
29,4.99510284035261
30,5.59120073327222
31,10.1609657947686
32,14.6616541353384
33,16.6451612903226
34,-8.92448512585813
35,9.65665236051503
Median,7.62392654689362
Average,7.62392654689362
