PeriodId,JITSofia-126
3,0
7,0
8,0
9,0
10,0
11,0
12,12
13,0
14,1.14285714285713
15,-3.21428571428571
16,-2.20588235294118
17,2.87539936102237
18,7.02341137123745
19,2.92463442069741
20,-0.930232558139532
21,-4.26638917793964
22,-5.4176072234763
23,-3.51941747572816
24,-3.15656565656566
25,-8.97435897435898
26,-0.624219725343322
27,-4.25531914893616
28,-4.25
29,-1.05401844532279
30,-4.39306358381503
31,1.37672090112642
32,9.12017167381973
33,8.64745011086474
34,18.4615384615385
35,9.16129032258064
Median,0
Average,0
