PeriodId,JITSofia-115
3,0
7,0
8,0
9,0
10,0
11,0
12,12
13,0
14,1.14285714285713
15,-1.78571428571429
16,-1.10294117647058
17,4.15335463258786
18,9.69899665551839
19,3.37457817772779
20,-2.01550387596899
21,-3.95421436004162
22,-5.4176072234763
23,-3.27669902912622
24,-2.14646464646465
25,-8.76068376068376
26,-1.49812734082397
27,-4.63078848560701
28,-3.25
29,-2.10803689064558
30,-3.81502890173411
31,0.500625782227782
32,11.1587982832618
33,8.0931263858093
34,18.5897435897436
35,10.5806451612903
Median,0
Average,0
