PeriodId,JITSofia-125
3,0
7,0
8,0
9,0
10,0
11,0
12,12
13,0
14,2.28571428571429
15,-3.21428571428571
16,-2.57352941176471
17,1.59744408945688
18,10.0334448160535
19,3.037120359955
20,-1.00775193798449
21,-2.70551508844953
22,-4.17607223476298
23,-3.64077669902912
24,-3.15656565656566
25,-8.65384615384616
26,-0.873907615480651
27,-5.25657071339174
28,-4.5
29,-2.89855072463768
30,-4.97109826589596
31,-0.250312891113891
32,8.36909871244636
33,6.87361419068737
34,18.4615384615385
35,8.77419354838709
Median,0
Average,0
