PeriodId,JITSofia-122
8,100
10,0
11,-11.1111111111111
12,-37.5
13,-66.6666666666667
14,-28.0701754385965
15,-13.8888888888889
16,-54.6666666666667
17,-39.7260273972603
18,-24.7191011235955
19,-18.6274509803922
20,-8.70967741935483
21,-13.3016627078385
22,-10.2870813397129
23,-9.45558739255015
24,-20.3098106712565
25,-24.4075829383886
26,-23.1329690346084
27,-20.551724137931
29,-30.9500489715965
30,-29.5142071494042
31,-26.7605633802817
32,-26.5664160401003
33,-25.5483870967742
34,-37.9862700228833
35,-36.2660944206009
Median,-24.5633420309921
Average,-24.5633420309921
