PeriodId,JITSofia-122
3,0
7,0
8,0
9,0
10,0
11,0
12,470.029118116534
13,0
14,53.5858709422636
15,43.4405345232653
16,47.0396568475357
17,49.8276988699234
18,89.1409290862929
19,79.730465743415
20,71.169788887211
21,71.9658205628402
22,85.5469726771499
23,74.2646447216786
24,80.4730277767884
25,102.307506813183
26,72.2493596209806
27,86.7572371954593
28,74.8388199684725
29,100.435715447742
30,90.5913446987883
31,81.5295009895611
32,78.1564313002935
33,80.9308279528887
34,84.6370821598728
35,128.594116450121
Median,74.5517323450755
Average,74.5517323450755
