PeriodId,JITSofia-117
3,0
7,0
8,0
9,0
10,0
11,0
12,12
13,0
14,1.71428571428571
15,-2.14285714285715
16,-0.735294117647056
17,4.15335463258786
18,8.69565217391304
19,4.04949381327333
20,-1.00775193798449
21,-3.53798126951093
22,-5.53047404063205
23,-3.64077669902912
24,-2.52525252525253
25,-7.90598290598291
26,-1.49812734082397
27,-4.00500625782227
28,-1.625
29,-1.31752305665349
30,-4.27745664739885
31,0.750938673341683
32,11.3733905579399
33,9.09090909090908
34,18.2051282051282
35,11.741935483871
Median,0
Average,0
