PeriodId,JITSofia-117
8,100
10,0
11,-11.1111111111111
12,-37.5
13,-66.6666666666667
14,-28.0701754385965
15,-13.8888888888889
16,-54.6666666666667
17,-39.7260273972603
18,-24.7191011235955
19,-22.5490196078431
20,-10
21,-15.9144893111639
22,-11.7224880382775
23,-10.3151862464183
24,-21.1703958691911
25,-24.4075829383886
26,-23.1329690346084
27,-21.5172413793103
29,-30.8521057786484
30,-29.6975252062328
31,-26.2575452716298
32,-24.812030075188
33,-23.3548387096774
34,-35.2402745995423
35,-36.2660944206009
Median,-23.881210824033
Average,-23.881210824033
