PeriodId,Sofia-127
1,100
2,14.2857142857143
3,-33.3333333333333
4,-45.3125
5,-38.2262996941896
6,-18.5185185185185
7,-24.8062015503876
8,-53.8461538461538
9,-24.7787610619469
10,-16.8478260869565
11,-30
12,-25.5905511811024
13,-26.7015706806283
14,-20.3636363636364
15,-28.6689419795222
16,-29.9242424242424
17,-49.8644986449865
18,-43.5443037974684
19,-33.0337078651685
Median,-28.6689419795222
Average,-28.6689419795222
