PeriodId,JITSofia-121
3,0
7,0
8,0
9,0
10,0
11,0
12,12
13,0
14,0.571428571428578
15,-1.78571428571429
16,1.47058823529411
17,4.15335463258786
18,6.68896321070234
19,2.13723284589427
20,-1.62790697674419
21,-3.2258064516129
22,-5.75620767494357
23,-4.00485436893204
24,-4.29292929292929
25,-8.76068376068376
26,0.124843945068664
27,-2.62828535669587
28,-3.37499999999999
29,-0.2635046113307
30,-4.85549132947977
31,0.250312891113902
32,9.65665236051503
33,9.20177383592018
34,20.6410256410256
35,11.8709677419355
Median,0
Average,0
