PeriodId,JITSofia-121
8,100
10,0
11,-11.1111111111111
12,-37.5
13,-66.6666666666667
14,-28.0701754385965
15,-13.8888888888889
16,-54.6666666666667
17,-39.7260273972603
18,-25.8426966292135
19,-18.6274509803922
20,-6.45161290322581
21,-12.8266033254157
22,-10.7655502392344
23,-8.59598853868195
24,-20.3098106712565
25,-23.696682464455
26,-22.4043715846995
27,-20.6896551724138
29,-29.4809010773751
30,-28.5976168652612
31,-23.8430583501006
32,-24.4360902255639
33,-24.1290322580645
34,-36.3844393592677
35,-31.3304721030043
Median,-23.7698704072778
Average,-23.7698704072778
