PeriodId,JITSofia-116
3,0
7,0
8,0
9,12.5
10,6.24252758667998
11,3.90496511483747
12,42.9246064932233
13,39.5090885149013
14,7.45800109971932
15,3.29626914670851
16,1.61039520887021
17,7.22392809467787
18,12.8187690353722
19,7.90366920147012
20,5.35051333909926
21,3.91922580995054
22,4.59363204436354
23,1.95142480722836
24,3.78881703608629
25,4.34471194462567
26,1.52305135267317
27,1.6136220132962
28,4.56058642392425
29,8.75186535455697
30,5.22104432353259
31,5.1490840340364
32,4.8986627786515
33,5.79271077098877
34,7.8680688196956
35,11.3223252737365
Median,5.02387340634395
Average,5.02387340634395
