PeriodId,RetentionRec-96
3,0
7,0
8,0
9,12.5
10,11.236549656024
11,20.0521091675889
12,55.3832700490112
13,34.2658131950632
14,23.9284514466171
15,13.4637420103821
16,10.9056517510999
17,12.5890597209925
18,18.7022326108594
19,13.3033620104962
20,10.1846768441496
21,7.85782527070438
22,9.7999923308399
23,8.32976081795522
24,11.0686555309754
25,17.1840240383464
26,11.1899372276974
27,9.85305266721666
28,13.8793913070614
29,18.046745158414
30,14.8383137305072
31,14.5358653151563
32,14.3100440150633
33,15.6544032135195
34,18.121802037693
35,21.6215262988841
Median,13.3835520104391
Average,13.3835520104391
