PeriodId,RetentionRec-96
3,0
7,0
8,0
9,0
10,0
11,0
12,-100
13,0
14,-68.7596855522609
15,-37.0921470017681
16,0.0967209327673801
17,2.51054142394724
18,20.4502558899217
19,11.6870505836614
20,0.891889419523717
21,-3.43680816921166
22,-6.99842009000631
23,-7.46947481327583
24,-7.86351637261388
25,11.4735797693683
26,-7.01271181105774
27,-9.12441678093755
28,-5.68057157141127
29,-2.72938273807449
30,-14.8083795332876
31,-14.835929389548
32,-21.2386384095235
33,-25.1008685870503
34,-32.9603555654186
35,-18.9458760918496
Median,-4.55868987031147
Average,-4.55868987031147
