PeriodId,RetentionRec-96
3,0
7,0
8,0
9,0
10,0
11,0
12,12
13,0
14,14.8571428571429
15,7.5
16,9.19117647058822
17,14.0575079872205
18,21.7391304347826
19,16.7604049493813
20,11.7829457364341
21,15.8168574401665
22,15.5756207674943
23,20.3883495145631
24,23.4848484848485
25,14.9572649572649
26,24.8439450686642
27,23.9048811013767
28,26.375
29,26.7457180500659
30,26.4739884393063
31,29.5369211514393
32,36.2660944206009
33,37.8048780487805
34,47.8205128205128
35,50.1935483870968
Median,15.6962391038304
Average,15.6962391038304
