PeriodId,RevOwnRec-97
8,100
10,0
11,0
12,-25
13,69.0476190476191
14,154.385964912281
15,413.888888888889
16,314.666666666667
17,349.315068493151
18,417.977528089888
19,-25.4901960784314
20,238.387096774194
21,184.085510688836
22,174.641148325359
23,173.352435530086
24,115.834767641997
25,142.18009478673
26,121.675774134791
27,94.7586206896552
29,43.1929480901077
30,44.0879926672777
31,47.887323943662
32,57.7694235588972
33,46.8387096774194
34,0.457665903890159
35,32.8326180257511
Median,97.3793103448276
Average,97.3793103448276
