PeriodId,RevOwnRec-97
3,0
7,0
8,0
9,12.5
10,3.89055486956349
11,14.9000452097874
12,49.9345101345625
13,23.779262555387
14,19.5753655337961
15,12.9643513031152
16,8.76663773329536
17,9.77412310666903
18,17.5701413564289
19,12.6369718824017
20,8.13686729633536
21,6.59984123386479
22,8.32021045218407
23,7.29289651080474
24,9.65277194789558
25,12.369275166851
26,10.5723280808688
27,9.6881422340688
28,13.473800610136
29,17.7261601475997
30,14.7415714101932
31,14.4792943204386
32,13.8863444179097
33,15.2902382580593
34,17.8252130582686
35,20.9361779614057
Median,12.5684859412008
Average,12.5684859412008
