PeriodId,RevOwnRec-97
3,0
7,0
8,0
9,0
10,0
11,0
12,12
13,0
14,13.7142857142857
15,5.71428571428572
16,5.51470588235294
17,13.0990415335463
18,14.7157190635451
19,14.7356580427447
20,7.44186046511628
21,8.94901144640998
22,6.54627539503385
23,16.1407766990291
24,19.1919191919192
25,9.29487179487178
26,18.7265917602996
27,21.026282853567
28,22.125
29,22.1343873517787
30,23.3526011560694
31,26.5331664580726
32,31.5450643776824
33,31.3747228381375
34,43.5897435897436
35,45.4193548387097
Median,13.406663623916
Average,13.406663623916
