PeriodId,JITSofia-124
3,0
7,0
8,0
9,12.5
10,6.24252758667998
11,14.0088490444231
12,37.1772351847353
13,32.5180547551172
14,12.4354987837071
15,7.59651869195657
16,4.35287640574358
17,7.46023103585765
18,13.4124819484434
19,8.48674497036841
20,5.50278329444638
21,4.33123875254875
22,5.85683988261643
23,2.69267070312258
24,5.08099746835744
25,5.88051683816655
26,3.88581085024662
27,3.9218650186315
28,7.1881774000329
29,10.9231910390404
30,7.65995270243451
31,7.17090154855522
32,5.73490387453179
33,7.55124225715447
34,9.92901346402977
35,11.9187515919198
Median,7.17953947429406
Average,7.17953947429406
