PeriodId,RetentionRec-98
4,-45.8408072386901
5,-53.9882610265606
6,-48.3943852761488
7,-54.496402773002
8,-45.9387592622161
9,-38.6993848607548
10,-34.7188630491571
11,-26.1666957305318
12,-28.68926267029
13,-27.2229632609994
14,-18.8142458082846
15,-14.2918256504251
16,-11.4963739692836
17,-9.13387366899231
18,21.8002982624341
19,-1.73819883558436
20,14.1630196863079
Median,-27.2229632609994
Average,-27.2229632609994
