PeriodId,cHRev-99
3,0
7,0
8,0
9,12.5
10,3.89055486956349
11,12.7856095883559
12,40.7877926206614
13,31.7315634571415
14,14.3656970800207
15,9.9097993270324
16,5.97622345762792
17,9.91909056018452
18,13.6223380392979
19,8.57978736926204
20,7.01090302062719
21,5.53830848424137
22,6.66416711180391
23,3.95743758696965
24,5.76402273976324
25,6.84443840669728
26,4.82655123582447
27,4.46747138239862
28,8.23111941195744
29,11.4514764642363
30,7.62904917842953
31,7.81542090783416
32,7.55046288499417
33,8.90950159601807
34,11.7366134303662
35,13.8581741526058
Median,7.72223504313184
Average,7.72223504313184
