PeriodId,cHRev-99
3,0
7,0
8,0
9,0
10,0
11,0
12,539.760083614755
13,0
14,82.9819130160537
15,70.6911682241713
16,67.5971769089724
17,61.6055382432484
18,107.428064753177
19,94.1252895049879
20,79.5679693137975
21,80.234507368778
22,99.6213358513414
23,86.5068400740656
24,95.6415358948788
25,118.706581571825
26,90.0535340410749
27,102.711068555001
28,97.2424319811269
29,121.510260413608
30,115.145984329915
31,116.457707136809
32,101.897744123712
33,112.219395035881
34,118.147359577359
35,158.115346296057
Median,92.0894117730314
Average,92.0894117730314
