PeriodId,cHRev-99
8,100
10,0
11,22.2222222222222
12,12.5
13,-4.76190476190477
14,0
15,72.2222222222222
16,-6.66666666666667
17,-12.3287671232877
18,-15.7303370786517
19,-17.6470588235294
20,2.58064516129033
21,1.18764845605701
22,8.61244019138756
23,16.9054441260745
24,59.8967297762478
25,75.8293838862559
26,62.8415300546448
27,48.551724137931
29,8.03134182174339
30,11.1824014665445
31,13.7826961770624
32,20.9273182957394
33,21.5483870967742
34,-4.80549199084668
35,17.1673819742489
Median,11.8412007332722
Average,11.8412007332722
