PeriodId,AuthorshipRec-100
8,0
10,100
11,44.4444444444444
12,50
13,116.666666666667
14,96.4912280701754
15,186.111111111111
16,32
17,-23.2876712328767
18,-15.7303370786517
19,-11.7647058823529
20,-0.967741935483868
21,102.137767220903
22,115.789473684211
23,2.29226361031518
24,67.1256454388984
25,-9.47867298578199
26,82.1493624772313
27,70.8965517241379
29,39.3731635651322
30,42.7131072410633
31,42.4547283702213
32,45.9899749373434
33,38.4516129032258
34,31.350114416476
35,30.4721030042918
Median,42.5839178056423
Average,42.5839178056423
