PeriodId,AuthorshipRec-100
3,0
7,0
8,0
9,0
10,0
11,0
12,12
13,0
14,4.57142857142858
15,2.85714285714285
16,0.367647058823528
17,3.19488817891374
18,14.7157190635451
19,8.43644544431945
20,0.620155038759695
21,0.936524453694076
22,3.61173814898419
23,7.03883495145632
24,9.46969696969697
25,3.20512820512822
26,8.98876404494382
27,3.25406758448059
28,9.87499999999999
29,9.35441370223979
30,8.55491329479769
31,11.514392991239
32,18.5622317596567
33,18.8470066518847
34,26.025641025641
35,30.0645161290322
Median,4.09158336020639
Average,4.09158336020639
