PeriodId,RevOwnRec-111
1,-50.2751078849189
2,-49.1684440337695
3,-60.7657461672327
4,-16.124064722967
5,-32.0239715888529
6,-38.1124779057955
7,-41.8289097420351
8,-47.6643729343997
9,-46.8750395544302
10,-43.6781872893147
11,-48.8266707329645
12,-29.0750980789607
13,-29.6142038198922
14,-36.1883763809568
15,-31.9907898271003
16,-30.5773104392591
17,-33.4884728681291
18,-35.3222543921374
19,-44.2659472140796
Median,-38.1124779057955
Average,-38.1124779057955
