PeriodId,LearnRec-98
8,100
10,500
11,-11.1111111111111
12,350
13,30.952380952381
14,89.4736842105263
15,169.444444444444
16,132
17,179.452054794521
18,211.23595505618
19,257.843137254902
20,155.806451612903
21,109.026128266033
22,154.066985645933
23,139.541547277937
24,113.253012048193
25,150
26,154.826958105647
27,134.758620689655
29,81.2928501469148
30,91.2007332722273
31,93.5613682092555
32,99.2481203007519
33,88.3870967741935
34,110.526315789474
35,109.012875536481
Median,122.626506024096
Average,122.626506024096
