PeriodId,Sofia-119
8,100
10,0
11,-11.1111111111111
12,-37.5
13,-66.6666666666667
14,-28.0701754385965
15,-16.6666666666667
16,-54.6666666666667
17,-39.7260273972603
18,-26.9662921348315
19,-20.5882352941177
20,-9.67741935483871
21,-13.7767220902613
22,-10.5263157894737
23,-9.16905444126075
24,-20.9982788296041
25,-25.5924170616114
26,-24.5901639344262
27,-21.3793103448276
29,-30.0685602350637
30,-29.8808432630614
31,-25.5533199195171
32,-26.3157894736842
33,-25.2903225806452
34,-35.6979405034325
35,-34.3347639484979
Median,-25.4218212500811
Average,-25.4218212500811
