PeriodId,Sofia-119
3,0
7,0
8,0
9,0
10,0
11,0
12,470.029118116534
13,0
14,51.8318793786096
15,40.3468826471835
16,47.2010395017276
17,50.9062398323191
18,84.2362465320068
19,80.6849996624892
20,71.3960990602869
21,70.2093794766361
22,85.2068416919867
23,72.8691486298118
24,80.3425182178482
25,100.69409578799
26,72.4103584178447
27,82.1290732125423
28,73.3081777578534
29,98.3320477383903
30,92.0127960184567
31,80.2201496592705
32,77.9932898566323
33,82.896458307688
34,85.5790595546199
35,130.192747853468
Median,73.0886631938326
Average,73.0886631938326
