PeriodId,Sofia-119
3,0
7,0
8,0
9,12.5
10,6.24252758667998
11,2.84725355678412
12,42.9246064932233
13,39.5090885149013
14,8.45441111910041
15,3.41663762271922
16,1.5610164328079
17,6.33608407366062
18,11.9215458118443
19,7.82060179579731
20,5.21202799044851
21,3.79697711420057
22,4.50943977810885
23,1.7155707242148
24,3.25684785476281
25,4.7438668855734
26,1.7555484007497
27,1.71810272272064
28,4.51249390515178
29,9.07057853144229
30,5.46064160294626
31,5.19732383644702
32,4.36479862242956
33,5.37069808719643
34,7.64700427828653
35,10.5251665532542
Median,4.97059536101021
Average,4.97059536101021
