PeriodId,Sofia-119
3,0
7,0
8,0
9,0
10,0
11,0
12,12
13,0
14,0.571428571428578
15,-2.5
16,-1.10294117647058
17,2.87539936102237
18,9.03010033444815
19,3.37457817772779
20,-1.24031007751938
21,-3.53798126951093
22,-5.07900677200903
23,-2.06310679611651
24,-2.3989898989899
25,-8.11965811965812
26,1.37328339575531
27,-1.3767209011264
28,-1.625
29,-1.71277997364954
30,-5.20231213872833
31,-0.375469336670842
32,9.12017167381973
33,8.31485587583149
34,19.2307692307692
35,12.1290322580645
Median,0
Average,0
